Tâche,Date,Plante,Type,Fréquence,Notes
💧 Arroser le Caféier,2026-05-28,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
💧 Arroser le Clusia,2026-05-31,Clusia « Princess »,Arrosage,Tous les 7 à 10 jours,Laisser sécher les 2 premiers centimètres.
💧 Arroser le Peperomia,2026-05-31,Peperomia grimpant,Arrosage,Tous les 7 à 10 jours,Laisser sécher le 1er cm de terre. Craint l'excès d'eau.
💧 Arroser le Clivia,2026-06-02,Clivia,Arrosage,Tous les 7 à 14 jours (croissance),Réduire fortement en hiver pour le repos / la floraison.
💧 Arroser le Caféier,2026-06-03,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
💧 Arroser le Dragonnier,2026-06-03,Dragonnier,Arrosage,Tous les 10 à 14 jours,Laisser sécher la moitié du pot. Eau non calcaire de préférence.
🌿 Engrais Clivia,2026-06-05,Clivia,Engrais,Toutes les 2 semaines (printemps-été),Engrais plantes fleuries. Stop pendant le repos hivernal.
🌿 Engrais Peperomia,2026-06-06,Peperomia grimpant,Engrais,Tous les 15 jours (printemps-été),Engrais plantes vertes dilué. Stop en hiver.
💧 Arroser le Caféier,2026-06-09,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
🌿 Engrais Caféier,2026-06-09,Caféier,Engrais,Tous les 15 à 21 jours (printemps-été),Engrais plantes vertes dilué.
💧 Arroser le Clusia,2026-06-09,Clusia « Princess »,Arrosage,Tous les 7 à 10 jours,Laisser sécher les 2 premiers centimètres.
💧 Arroser la Sansevieria,2026-06-09,Langue de belle-mère,Arrosage,Tous les 14 à 21 jours,Laisser sécher complètement. 1 fois/mois en hiver.
💧 Arroser le Peperomia,2026-06-09,Peperomia grimpant,Arrosage,Tous les 7 à 10 jours,Laisser sécher le 1er cm de terre. Craint l'excès d'eau.
💧 Arroser le Clivia,2026-06-13,Clivia,Arrosage,Tous les 7 à 14 jours (croissance),Réduire fortement en hiver pour le repos / la floraison.
💧 Arroser le Caféier,2026-06-15,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
💧 Arroser le Dragonnier,2026-06-15,Dragonnier,Arrosage,Tous les 10 à 14 jours,Laisser sécher la moitié du pot. Eau non calcaire de préférence.
💧 Arroser le Clusia,2026-06-18,Clusia « Princess »,Arrosage,Tous les 7 à 10 jours,Laisser sécher les 2 premiers centimètres.
💧 Arroser le Peperomia,2026-06-18,Peperomia grimpant,Arrosage,Tous les 7 à 10 jours,Laisser sécher le 1er cm de terre. Craint l'excès d'eau.
🌿 Engrais Clivia,2026-06-19,Clivia,Engrais,Toutes les 2 semaines (printemps-été),Engrais plantes fleuries. Stop pendant le repos hivernal.
💧 Arroser le Caféier,2026-06-21,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
🔎 Contrôler le Caféier,2026-06-21,Caféier,Surveillance,Contrôle mensuel,Surveiller l'hygrométrie et les acariens (air sec). Brumiser au besoin.
🔎 Contrôler le Clivia,2026-06-21,Clivia,Surveillance,Contrôle mensuel,Penser au repos hivernal au frais (10–12 °C) pour refleurir.
🌿 Engrais Clusia,2026-06-21,Clusia « Princess »,Engrais,Une fois par mois (printemps-été),Engrais plantes vertes dilué.
🔎 Contrôler le Clusia,2026-06-21,Clusia « Princess »,Surveillance,Contrôle mensuel,Taches noires = excès d'eau ; chute de feuilles = courant d'air froid.
🌿 Engrais Dragonnier,2026-06-21,Dragonnier,Engrais,Une fois par mois (printemps-été),Engrais plantes vertes dilué.
🔎 Contrôler le Dragonnier,2026-06-21,Dragonnier,Surveillance,Contrôle mensuel,Pointes brunes = eau calcaire/fluorée ou air sec.
🔎 Contrôler la Sansevieria,2026-06-21,Langue de belle-mère,Surveillance,Contrôle mensuel,Base molle = pourriture ; feuilles couchées = manque de lumière.
🌿 Engrais Peperomia,2026-06-21,Peperomia grimpant,Engrais,Tous les 15 jours (printemps-été),Engrais plantes vertes dilué. Stop en hiver.
🔎 Contrôler le Peperomia,2026-06-21,Peperomia grimpant,Surveillance,Contrôle mensuel,Feuilles molles = trop d'eau ; tiges allongées = manque de lumière.
💧 Arroser le Clivia,2026-06-24,Clivia,Arrosage,Tous les 7 à 14 jours (croissance),Réduire fortement en hiver pour le repos / la floraison.
💧 Arroser le Caféier,2026-06-27,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
🌿 Engrais Caféier,2026-06-27,Caféier,Engrais,Tous les 15 à 21 jours (printemps-été),Engrais plantes vertes dilué.
💧 Arroser le Clusia,2026-06-27,Clusia « Princess »,Arrosage,Tous les 7 à 10 jours,Laisser sécher les 2 premiers centimètres.
💧 Arroser le Dragonnier,2026-06-27,Dragonnier,Arrosage,Tous les 10 à 14 jours,Laisser sécher la moitié du pot. Eau non calcaire de préférence.
💧 Arroser la Sansevieria,2026-06-27,Langue de belle-mère,Arrosage,Tous les 14 à 21 jours,Laisser sécher complètement. 1 fois/mois en hiver.
💧 Arroser le Peperomia,2026-06-27,Peperomia grimpant,Arrosage,Tous les 7 à 10 jours,Laisser sécher le 1er cm de terre. Craint l'excès d'eau.
💧 Arroser le Caféier,2026-07-03,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
🌿 Engrais Clivia,2026-07-03,Clivia,Engrais,Toutes les 2 semaines (printemps-été),Engrais plantes fleuries. Stop pendant le repos hivernal.
💧 Arroser le Clivia,2026-07-05,Clivia,Arrosage,Tous les 7 à 14 jours (croissance),Réduire fortement en hiver pour le repos / la floraison.
💧 Arroser le Clusia,2026-07-06,Clusia « Princess »,Arrosage,Tous les 7 à 10 jours,Laisser sécher les 2 premiers centimètres.
💧 Arroser le Peperomia,2026-07-06,Peperomia grimpant,Arrosage,Tous les 7 à 10 jours,Laisser sécher le 1er cm de terre. Craint l'excès d'eau.
🌿 Engrais Peperomia,2026-07-06,Peperomia grimpant,Engrais,Tous les 15 jours (printemps-été),Engrais plantes vertes dilué. Stop en hiver.
💧 Arroser le Caféier,2026-07-09,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
💧 Arroser le Dragonnier,2026-07-09,Dragonnier,Arrosage,Tous les 10 à 14 jours,Laisser sécher la moitié du pot. Eau non calcaire de préférence.
💧 Arroser le Caféier,2026-07-15,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
🌿 Engrais Caféier,2026-07-15,Caféier,Engrais,Tous les 15 à 21 jours (printemps-été),Engrais plantes vertes dilué.
💧 Arroser le Clusia,2026-07-15,Clusia « Princess »,Arrosage,Tous les 7 à 10 jours,Laisser sécher les 2 premiers centimètres.
💧 Arroser la Sansevieria,2026-07-15,Langue de belle-mère,Arrosage,Tous les 14 à 21 jours,Laisser sécher complètement. 1 fois/mois en hiver.
💧 Arroser le Peperomia,2026-07-15,Peperomia grimpant,Arrosage,Tous les 7 à 10 jours,Laisser sécher le 1er cm de terre. Craint l'excès d'eau.
💧 Arroser le Clivia,2026-07-16,Clivia,Arrosage,Tous les 7 à 14 jours (croissance),Réduire fortement en hiver pour le repos / la floraison.
🌿 Engrais Clivia,2026-07-17,Clivia,Engrais,Toutes les 2 semaines (printemps-été),Engrais plantes fleuries. Stop pendant le repos hivernal.
🌿 Engrais Sansevieria,2026-07-17,Langue de belle-mère,Engrais,Toutes les 8 semaines (printemps-été),Engrais cactées dilué. Aucun apport hors saison.
💧 Arroser le Caféier,2026-07-21,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
🔎 Contrôler le Caféier,2026-07-21,Caféier,Surveillance,Contrôle mensuel,Surveiller l'hygrométrie et les acariens (air sec). Brumiser au besoin.
🔎 Contrôler le Clivia,2026-07-21,Clivia,Surveillance,Contrôle mensuel,Penser au repos hivernal au frais (10–12 °C) pour refleurir.
🌿 Engrais Clusia,2026-07-21,Clusia « Princess »,Engrais,Une fois par mois (printemps-été),Engrais plantes vertes dilué.
🔎 Contrôler le Clusia,2026-07-21,Clusia « Princess »,Surveillance,Contrôle mensuel,Taches noires = excès d'eau ; chute de feuilles = courant d'air froid.
💧 Arroser le Dragonnier,2026-07-21,Dragonnier,Arrosage,Tous les 10 à 14 jours,Laisser sécher la moitié du pot. Eau non calcaire de préférence.
🌿 Engrais Dragonnier,2026-07-21,Dragonnier,Engrais,Une fois par mois (printemps-été),Engrais plantes vertes dilué.
🔎 Contrôler le Dragonnier,2026-07-21,Dragonnier,Surveillance,Contrôle mensuel,Pointes brunes = eau calcaire/fluorée ou air sec.
🔎 Contrôler la Sansevieria,2026-07-21,Langue de belle-mère,Surveillance,Contrôle mensuel,Base molle = pourriture ; feuilles couchées = manque de lumière.
🌿 Engrais Peperomia,2026-07-21,Peperomia grimpant,Engrais,Tous les 15 jours (printemps-été),Engrais plantes vertes dilué. Stop en hiver.
🔎 Contrôler le Peperomia,2026-07-21,Peperomia grimpant,Surveillance,Contrôle mensuel,Feuilles molles = trop d'eau ; tiges allongées = manque de lumière.
💧 Arroser le Clusia,2026-07-24,Clusia « Princess »,Arrosage,Tous les 7 à 10 jours,Laisser sécher les 2 premiers centimètres.
💧 Arroser le Peperomia,2026-07-24,Peperomia grimpant,Arrosage,Tous les 7 à 10 jours,Laisser sécher le 1er cm de terre. Craint l'excès d'eau.
💧 Arroser le Caféier,2026-07-27,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
💧 Arroser le Clivia,2026-07-27,Clivia,Arrosage,Tous les 7 à 14 jours (croissance),Réduire fortement en hiver pour le repos / la floraison.
🌿 Engrais Clivia,2026-07-31,Clivia,Engrais,Toutes les 2 semaines (printemps-été),Engrais plantes fleuries. Stop pendant le repos hivernal.
💧 Arroser le Caféier,2026-08-02,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
🌿 Engrais Caféier,2026-08-02,Caféier,Engrais,Tous les 15 à 21 jours (printemps-été),Engrais plantes vertes dilué.
💧 Arroser le Clusia,2026-08-02,Clusia « Princess »,Arrosage,Tous les 7 à 10 jours,Laisser sécher les 2 premiers centimètres.
💧 Arroser le Dragonnier,2026-08-02,Dragonnier,Arrosage,Tous les 10 à 14 jours,Laisser sécher la moitié du pot. Eau non calcaire de préférence.
💧 Arroser la Sansevieria,2026-08-02,Langue de belle-mère,Arrosage,Tous les 14 à 21 jours,Laisser sécher complètement. 1 fois/mois en hiver.
💧 Arroser le Peperomia,2026-08-02,Peperomia grimpant,Arrosage,Tous les 7 à 10 jours,Laisser sécher le 1er cm de terre. Craint l'excès d'eau.
🌿 Engrais Peperomia,2026-08-05,Peperomia grimpant,Engrais,Tous les 15 jours (printemps-été),Engrais plantes vertes dilué. Stop en hiver.
💧 Arroser le Clivia,2026-08-07,Clivia,Arrosage,Tous les 7 à 14 jours (croissance),Réduire fortement en hiver pour le repos / la floraison.
💧 Arroser le Caféier,2026-08-08,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
💧 Arroser le Clusia,2026-08-11,Clusia « Princess »,Arrosage,Tous les 7 à 10 jours,Laisser sécher les 2 premiers centimètres.
